country,indicator,sex,classification1,classification2,year,value
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (10-year bands): 15-24,,2022,3244.495
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (10-year bands): 25-34,,2022,2510.278
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (10-year bands): 35-44,,2022,2985.026
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (10-year bands): 45-54,,2022,2897.723
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (10-year bands): 55-64,,2022,2671.481
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (10-year bands): 65+,,2022,2852.97
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (10-year bands): Total,,2022,7914.636
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (10-year bands): 15-24,,2022,1576.865
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (10-year bands): 25-34,,2022,1157.624
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (10-year bands): 35-44,,2022,1376.103
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (10-year bands): 45-54,,2022,1330.764
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (10-year bands): 55-64,,2022,1241.426
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (10-year bands): 65+,,2022,1231.854
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (10-year bands): Total,,2022,9247.337
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (10-year bands): 15-24,,2022,1667.63
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (10-year bands): 25-34,,2022,1352.654
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (10-year bands): 35-44,,2022,1608.923
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (10-year bands): 45-54,,2022,1566.959
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (10-year bands): 55-64,,2022,1430.055
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (10-year bands): 65+,,2022,1621.116
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): Total,,2022,17161.973
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 15-19,,2022,1826.046
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 20-24,,2022,1418.448
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 25-29,,2022,1245.757
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 30-34,,2022,1264.521
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 35-39,,2022,1416.821
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 40-44,,2022,1568.205
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 45-49,,2022,1444.776
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 50-54,,2022,1452.947
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 55-59,,2022,1367.566
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 60-64,,2022,1303.915
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 65+,,2022,2852.97
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): Total,,2022,7914.636
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 15-19,,2022,900.586
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 20-24,,2022,676.279
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 25-29,,2022,593.709
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 30-34,,2022,563.915
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 35-39,,2022,647.948
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 40-44,,2022,728.154
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 45-49,,2022,670.955
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 50-54,,2022,659.81
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 55-59,,2022,644.739
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 60-64,,2022,596.687
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 65+,,2022,1231.854
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): Total,,2022,9247.337
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 15-19,,2022,925.461
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 20-24,,2022,742.169
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 25-29,,2022,652.048
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 30-34,,2022,700.606
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 35-39,,2022,768.873
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 40-44,,2022,840.05
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 45-49,,2022,773.822
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 50-54,,2022,793.137
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 55-59,,2022,722.827
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 60-64,,2022,707.228
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 65+,,2022,1621.116
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,"Age (Youth, adults): 15+",,2021,17133.659
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,"Age (Youth, adults): 15-64",,2021,14352.576
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,"Age (Youth, adults): 15-24",,2021,3231.866
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,"Age (Youth, adults): 25+",,2021,13901.793
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,"Age (Youth, adults): 15+",,2021,7915.659
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,"Age (Youth, adults): 15-64",,2021,6712.559
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,"Age (Youth, adults): 15-24",,2021,1584.662
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,"Age (Youth, adults): 25+",,2021,6330.997
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,"Age (Youth, adults): 15+",,2021,9218
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,"Age (Youth, adults): 15-64",,2021,7640.016
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,"Age (Youth, adults): 15-24",,2021,1647.204
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,"Age (Youth, adults): 25+",,2021,7570.796
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (Aggregate bands): Total,,2021,17133.659
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (Aggregate bands): 15-24,,2021,3231.866
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (Aggregate bands): 25-54,,2021,8372.389
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (Aggregate bands): 55-64,,2021,2748.32
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (Aggregate bands): 65+,,2021,2781.083
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (Aggregate bands): Total,,2021,7915.659
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (Aggregate bands): 15-24,,2021,1584.662
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (Aggregate bands): 25-54,,2021,3869.175
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (Aggregate bands): 55-64,,2021,1258.722
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (Aggregate bands): 65+,,2021,1203.1
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (Aggregate bands): Total,,2021,9218
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (Aggregate bands): 15-24,,2021,1647.204
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (Aggregate bands): 25-54,,2021,4503.214
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (Aggregate bands): 55-64,,2021,1489.598
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (Aggregate bands): 65+,,2021,1577.984
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (10-year bands): Total,,2021,17133.659
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (10-year bands): 15-24,,2021,3231.866
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (10-year bands): 25-34,,2021,2515.753
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (10-year bands): 35-44,,2021,2973.619
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (10-year bands): 45-54,,2021,2883.017
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (10-year bands): 55-64,,2021,2748.32
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (10-year bands): 65+,,2021,2781.083
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (10-year bands): Total,,2021,7915.659
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (10-year bands): 15-24,,2021,1584.662
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (10-year bands): 25-34,,2021,1170.563
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (10-year bands): 35-44,,2021,1360.514
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (10-year bands): 45-54,,2021,1338.098
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (10-year bands): 55-64,,2021,1258.722
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (10-year bands): 65+,,2021,1203.1
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (10-year bands): Total,,2021,9218
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (10-year bands): 15-24,,2021,1647.204
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (10-year bands): 25-34,,2021,1345.19
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (10-year bands): 35-44,,2021,1613.104
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (10-year bands): 45-54,,2021,1544.919
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (10-year bands): 55-64,,2021,1489.598
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (10-year bands): 65+,,2021,1577.984
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): Total,,2021,17133.659
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 15-19,,2021,1766.093
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 20-24,,2021,1465.772
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 25-29,,2021,1283.222
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 30-34,,2021,1232.531
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 35-39,,2021,1413.444
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 40-44,,2021,1560.175
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 45-49,,2021,1446.945
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 50-54,,2021,1436.072
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 55-59,,2021,1438.067
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 60-64,,2021,1310.254
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (5-year bands): 65+,,2021,2781.083
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): Total,,2021,7915.659
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 15-19,,2021,875.404
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 20-24,,2021,709.258
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 25-29,,2021,615.454
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 30-34,,2021,555.109
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 35-39,,2021,634.152
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 40-44,,2021,726.363
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 45-49,,2021,667.77
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 50-54,,2021,670.328
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 55-59,,2021,649.981
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 60-64,,2021,608.741
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (5-year bands): 65+,,2021,1203.1
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): Total,,2021,9218
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 15-19,,2021,890.689
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 20-24,,2021,756.515
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 25-29,,2021,667.768
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 30-34,,2021,677.423
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 35-39,,2021,779.292
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 40-44,,2021,833.812
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 45-49,,2021,779.175
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 50-54,,2021,765.744
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 55-59,,2021,788.086
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 60-64,,2021,701.512
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (5-year bands): 65+,,2021,1577.984
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,"Age (Youth, adults): 15+",,2020,16739.396
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,"Age (Youth, adults): 15-64",,2020,14097.579
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,"Age (Youth, adults): 15-24",,2020,3186.206
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,"Age (Youth, adults): 25+",,2020,13553.19
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,"Age (Youth, adults): 15+",,2020,7788.634
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,"Age (Youth, adults): 15-64",,2020,6638.922
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,"Age (Youth, adults): 15-24",,2020,1568.284
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,"Age (Youth, adults): 25+",,2020,6220.349
